tool,suite,subject,gc,arm,status,monitors,events,traces
valg,dacapo,graphchi,serial,native,PASS,993,93463008,
valg,dacapo,h2,g1,native,PASS,1704,12329708,
valg,dacapo,h2,parallel,native,PASS,1873,12278748,
valg,dacapo,h2,serial,native,PASS,1944,12403658,
valg,dacapo,jme,g1,native,PASS,2178,2733249,
valg,dacapo,jme,parallel,native,PASS,2460,2719133,
valg,dacapo,jme,serial,native,PASS,2461,2733678,
valg,dacapo,jython,g1,native,PASS,343100,252180996,
valg,dacapo,jython,parallel,native,PASS,343665,252443006,
valg,dacapo,jython,serial,native,PASS,343517,251699995,
valg,dacapo,luindex,g1,native,PASS,64767,250141622,
valg,dacapo,luindex,parallel,native,PASS,64901,249873378,
valg,dacapo,luindex,serial,native,PASS,44212,250133187,
valg,dacapo,lusearch,g1,native,PASS,759795,1101741022,
valg,dacapo,lusearch,parallel,native,PASS,766651,1107064458,
valg,dacapo,lusearch,serial,native,PASS,756935,1112304481,
valg,dacapo,pmd,g1,native,PASS,2868363,1588876176,
valg,dacapo,pmd,parallel,native,PASS,1789378,1507690620,
valg,dacapo,pmd,serial,native,PASS,1688954,1482819514,
valg,dacapo,sunflow,g1,native,PASS,20129,167514306,
valg,dacapo,sunflow,parallel,native,PASS,25440,165170226,
valg,dacapo,sunflow,serial,native,PASS,25367,157084205,
valg,dacapo,tomcat,g1,native,PASS,270584,285777893,
valg,dacapo,tomcat,parallel,native,PASS,280194,280832174,
valg,dacapo,tomcat,serial,native,PASS,295276,282003086,
valg,dacapo,xalan,g1,native,PASS,62314,143793152,
valg,dacapo,xalan,parallel,native,PASS,62171,139821048,
valg,dacapo,xalan,serial,native,PASS,62582,140805646,
valg,dacapo,zxing,g1,native,PASS,59386,100867763,
valg,dacapo,zxing,parallel,native,PASS,59415,100761027,
valg,dacapo,zxing,serial,native,PASS,80427,99384860,
valg,dacapo,avrora,g1,stock,PASS,63302,121053793,
valg,dacapo,avrora,parallel,stock,PASS,97408,120706753,
valg,dacapo,avrora,serial,stock,PASS,88205,119144777,
valg,dacapo,batik,g1,stock,PASS,103633,22743611,
valg,dacapo,batik,parallel,stock,PASS,103225,22742073,
valg,dacapo,batik,serial,stock,PASS,103476,22742588,
valg,dacapo,biojava,g1,stock,PASS,79615,6791505900,
valg,dacapo,biojava,parallel,stock,PASS,79575,6792948057,
valg,dacapo,biojava,serial,stock,PASS,79680,6793290757,
valg,dacapo,eclipse,g1,stock,PASS,47829,5398605,
valg,dacapo,eclipse,parallel,stock,PASS,53021,5580676,
valg,dacapo,eclipse,serial,stock,PASS,46093,5330869,
valg,dacapo,graphchi,g1,stock,PASS,1031,93598680,
valg,dacapo,graphchi,parallel,stock,PASS,1008,93606313,
valg,dacapo,graphchi,serial,stock,PASS,979,93653653,
valg,dacapo,h2,g1,stock,PASS,1733,12317064,
valg,dacapo,h2,parallel,stock,PASS,1841,12322040,
valg,dacapo,h2,serial,stock,PASS,2038,12288192,
valg,dacapo,jme,g1,stock,PASS,2159,2733269,
valg,dacapo,jme,parallel,stock,PASS,2320,2733613,
valg,dacapo,jme,serial,stock,PASS,2447,2734279,
valg,dacapo,jython,g1,stock,PASS,344945,251848829,
valg,dacapo,jython,parallel,stock,PASS,342690,251827880,
valg,dacapo,jython,serial,stock,PASS,340443,251822755,
valg,dacapo,luindex,g1,stock,PASS,44263,250138891,
valg,dacapo,luindex,parallel,stock,PASS,65060,250143696,
valg,dacapo,luindex,serial,stock,PASS,44077,250139170,
valg,dacapo,lusearch,g1,stock,PASS,760201,1194974255,
valg,dacapo,lusearch,parallel,stock,PASS,759511,1099214818,
valg,dacapo,lusearch,serial,stock,PASS,754701,1124557793,
valg,dacapo,pmd,g1,stock,PASS,1992676,1653178717,
valg,dacapo,pmd,parallel,stock,PASS,2366024,1547448858,
valg,dacapo,pmd,serial,stock,PASS,1991455,1569687407,
valg,dacapo,sunflow,g1,stock,PASS,20259,174187817,
valg,dacapo,sunflow,parallel,stock,PASS,25790,162506371,
valg,dacapo,sunflow,serial,stock,PASS,20288,167360297,
valg,dacapo,tomcat,g1,stock,PASS,314011,307514879,
valg,dacapo,tomcat,parallel,stock,PASS,354031,361011427,
valg,dacapo,tomcat,serial,stock,PASS,224482,282332781,
valg,dacapo,xalan,g1,stock,PASS,61096,147064728,
valg,dacapo,xalan,parallel,stock,PASS,61966,143021218,
valg,dacapo,xalan,serial,stock,PASS,61371,148736846,
valg,dacapo,zxing,g1,stock,PASS,54742,102954289,
valg,dacapo,zxing,parallel,stock,PASS,54407,101794220,
valg,dacapo,zxing,serial,stock,PASS,54704,101517736,
valg,dacapo,kafka,serial,native,PASS,1478837,406403612,
valg,dacapo,kafka,serial,stock,PASS,688057,288205817,
valg,dacapo,kafka,parallel,native,PASS,785730,336386038,
valg,dacapo,kafka,parallel,stock,PASS,726309,327449319,
valg,dacapo,kafka,g1,native,PASS,841753,373065794,
valg,dacapo,kafka,g1,stock,PASS,821442,338751814,
lazymop,oss,albfernandez-javadbf,serial,stock,PASS,,,191
lazymop,oss,albfernandez-javadbf,serial,native,PASS,,,191
lazymop,oss,StarlangSoftware-TurkishPropBank,serial,stock,PASS,,,112
lazymop,oss,StarlangSoftware-TurkishPropBank,serial,native,PASS,,,112
lazymop,oss,cowtowncoder-java-uuid-generator,serial,stock,PASS,,,120
lazymop,oss,cowtowncoder-java-uuid-generator,serial,native,PASS,,,120
lazymop,oss,StarlangSoftware-TurkishSentiNet,serial,stock,PASS,,,31
lazymop,oss,StarlangSoftware-TurkishSentiNet,serial,native,PASS,,,31
lazymop,oss,awslabs-route53-infima,serial,stock,PASS,,,802
lazymop,oss,awslabs-route53-infima,serial,native,PASS,,,804
lazymop,oss,agarciadom-xeger,serial,stock,PASS,,,1883
lazymop,oss,agarciadom-xeger,serial,native,PASS,,,1687
lazymop,oss,almson-almson-refcount,serial,stock,PASS,,,24
lazymop,oss,almson-almson-refcount,serial,native,PASS,,,24
lazymop,oss,lexburner-consistent-hash-algorithm,serial,stock,PASS,,,27
lazymop,oss,lexburner-consistent-hash-algorithm,serial,native,PASS,,,27
lazymop,oss,solita-functional-utils,serial,stock,PASS,,,927
lazymop,oss,solita-functional-utils,serial,native,PASS,,,927
lazymop,oss,palindromicity-simple-syslog,serial,stock,PASS,,,2517
lazymop,oss,palindromicity-simple-syslog,serial,native,PASS,,,2517
lazymop,oss,zhoujianling-PointCloudUtilities,serial,stock,PASS,,,41981
lazymop,oss,zhoujianling-PointCloudUtilities,serial,native,PASS,,,34667
lazymop,oss,graphstream-gs-core,serial,stock,PASS,,,818
lazymop,oss,graphstream-gs-core,serial,native,PASS,,,818
lazymop,oss,ghaffarian-progex,serial,stock,PASS,,,38291
lazymop,oss,ghaffarian-progex,serial,native,PASS,,,36930
lazymop,oss,graphstream-gs-algo,serial,stock,FAIL,,,
lazymop,oss,graphstream-gs-algo,serial,native,FAIL,,,
lazymop,oss,MezereonXP-AnomalyDetectTool,serial,stock,PASS,,,678
lazymop,oss,MezereonXP-AnomalyDetectTool,serial,native,PASS,,,680
lazymop,oss,Antibrumm-jackson-antpathfilter,serial,stock,PASS,,,426
lazymop,oss,Antibrumm-jackson-antpathfilter,serial,native,PASS,,,423
lazymop,oss,codelion-gramtest,serial,stock,PASS,,,1199
lazymop,oss,codelion-gramtest,serial,native,PASS,,,1183
lazymop,oss,huaban-jieba-analysis,serial,stock,PASS,,,1092
lazymop,oss,huaban-jieba-analysis,serial,native,PASS,,,1092
lazymop,oss,mocnik-science-geogrid,serial,stock,PASS,,,63
lazymop,oss,mocnik-science-geogrid,serial,native,PASS,,,63
lazymop,oss,renfei-ik-analyzer,serial,stock,PASS,,,922
lazymop,oss,renfei-ik-analyzer,serial,native,PASS,,,922
lazymop,oss,confluentinc-kafka-connect-datagen,serial,stock,PASS,,,36892
lazymop,oss,confluentinc-kafka-connect-datagen,serial,native,PASS,,,11278
lazymop,oss,f4b6a3-uuid-creator,serial,stock,PASS,,,216
lazymop,oss,f4b6a3-uuid-creator,serial,native,PASS,,,216
lazymop,oss,gchq-synthetic-data-generator,serial,stock,FAIL,,,
lazymop,oss,gchq-synthetic-data-generator,serial,native,FAIL,,,
lazymop,oss,sbesada-java.math.expression.parser,serial,stock,PASS,,,135
lazymop,oss,sbesada-java.math.expression.parser,serial,native,PASS,,,135
lazymop,oss,mastodon-sc-mastodon,serial,stock,FAIL,,,
lazymop,oss,mastodon-sc-mastodon,serial,native,FAIL,,,
lazymop,oss,ElectronicChartCentre-java-vector-tile,serial,stock,FAIL,,,
lazymop,oss,ElectronicChartCentre-java-vector-tile,serial,native,FAIL,,,
lazymop,oss,conveyal-osm-lib,serial,stock,PASS,,,3524
lazymop,oss,conveyal-osm-lib,serial,native,PASS,,,3522
lazymop,oss,eightbitjim-cassette-nibbler,serial,stock,PASS,,,41423
lazymop,oss,eightbitjim-cassette-nibbler,serial,native,PASS,,,47602
lazymop,oss,simplenlg-simplenlg,serial,stock,PASS,,,2169
lazymop,oss,simplenlg-simplenlg,serial,native,PASS,,,2169
lazymop,oss,cocolian-cocolian-nlp,serial,stock,PASS,,,33987
lazymop,oss,cocolian-cocolian-nlp,serial,native,PASS,,,28726
lazymop,oss,getodk-javarosa,serial,stock,PASS,,,10127
lazymop,oss,getodk-javarosa,serial,native,PASS,,,10068
lazymop,oss,fraunhoferfokus-Fuzzino,serial,stock,PASS,,,7001
lazymop,oss,fraunhoferfokus-Fuzzino,serial,native,PASS,,,7001
lazymop,oss,Sweetiee-yi-Jaba,serial,stock,PASS,,,4969
lazymop,oss,Sweetiee-yi-Jaba,serial,native,PASS,,,4969
lazymop,oss,iquadrat-sbb-train-scheduler,serial,stock,PASS,,,6987
lazymop,oss,iquadrat-sbb-train-scheduler,serial,native,PASS,,,6994
lazymop,oss,davidmoten-bplustree,serial,stock,PASS,,,189
lazymop,oss,davidmoten-bplustree,serial,native,PASS,,,189
lazymop,oss,hlavki-jlemmagen,serial,stock,PASS,,,2066
lazymop,oss,hlavki-jlemmagen,serial,native,PASS,,,2066
lazymop,oss,davidmoten-rtree2,serial,stock,PASS,,,1815
lazymop,oss,davidmoten-rtree2,serial,native,PASS,,,1818
lazymop,oss,danieldk-dictomaton,serial,stock,PASS,,,13836
lazymop,oss,danieldk-dictomaton,serial,native,PASS,,,13836
lazymop,oss,almondtools-stringsearchalgorithms,serial,stock,PASS,,,4840
lazymop,oss,almondtools-stringsearchalgorithms,serial,native,PASS,,,4842
lazymop,oss,davidmoten-rtree-multi,serial,stock,PASS,,,38175
lazymop,oss,davidmoten-rtree-multi,serial,native,PASS,,,38072
lazymop,oss,chocoteam-choco-graph,serial,stock,FAIL,,,
lazymop,oss,chocoteam-choco-graph,serial,native,FAIL,,,
lazymop,oss,myui-btree4j,serial,stock,PASS,,,1542
lazymop,oss,myui-btree4j,serial,native,PASS,,,1532
lazymop,oss,houbb-sensitive-word,serial,stock,PASS,,,448
lazymop,oss,houbb-sensitive-word,serial,native,PASS,,,448
lazymop,oss,jahlborn-jackcess,serial,stock,PASS,,,45031
lazymop,oss,jahlborn-jackcess,serial,native,PASS,,,36384
lazymop,oss,lukfor-pgs-calc,serial,stock,PASS,,,7764
lazymop,oss,lukfor-pgs-calc,serial,native,PASS,,,7744
lazymop,oss,apache-commons-imaging,serial,stock,PASS,,,8553
lazymop,oss,apache-commons-imaging,serial,native,PASS,,,8549
lazymop,oss,davidmoten-rtree,serial,stock,PASS,,,2828
lazymop,oss,davidmoten-rtree,serial,native,PASS,,,2829
lazymop,oss,kapoorlabs-kiara,serial,stock,PASS,,,
lazymop,oss,kapoorlabs-kiara,serial,native,FAIL,,,
lazymop,oss,fusion-jena-JaroWinklerSimilarity,serial,stock,PASS,,,11715
lazymop,oss,fusion-jena-JaroWinklerSimilarity,serial,native,PASS,,,10474
lazymop,oss,palatable-lambda,serial,stock,FAIL,,,
lazymop,oss,palatable-lambda,serial,native,FAIL,,,
lazymop,oss,flipkart-incubator-databuilderframework,serial,stock,PASS,,,1461
lazymop,oss,flipkart-incubator-databuilderframework,serial,native,PASS,,,1461
lazymop,oss,indeedeng-vowpal-wabbit-java,serial,stock,PASS,,,275
lazymop,oss,indeedeng-vowpal-wabbit-java,serial,native,PASS,,,275
lazymop,oss,bkatwal-kafka-util,serial,stock,PASS,,,32458
lazymop,oss,bkatwal-kafka-util,serial,native,PASS,,,33951
lazymop,oss,xspec-xspec-maven-plugin-1,serial,stock,PASS,,,8958
lazymop,oss,xspec-xspec-maven-plugin-1,serial,native,PASS,,,8953
lazymop,oss,attoparser-attoparser,serial,stock,PASS,,,799
lazymop,oss,attoparser-attoparser,serial,native,PASS,,,799
lazymop,oss,PeterisP-morphology,serial,stock,PASS,,,28638
lazymop,oss,PeterisP-morphology,serial,native,PASS,,,28943
lazymop,oss,ysc-word,serial,stock,PASS,,,1603
lazymop,oss,ysc-word,serial,native,PASS,,,1603
lazymop,oss,addthis-stream-lib,serial,stock,FAIL,,,
lazymop,oss,addthis-stream-lib,serial,native,FAIL,,,
lazymop,oss,googleapis-java-spanner-jdbc,serial,stock,FAIL,,,
lazymop,oss,googleapis-java-spanner-jdbc,serial,native,FAIL,,,
lazymop,oss,StarlangSoftware-TurkishWordNet,serial,stock,PASS,,,1293
lazymop,oss,StarlangSoftware-TurkishWordNet,serial,native,PASS,,,1293
lazymop,oss,albfernandez-javadbf,parallel,stock,PASS,,,191
lazymop,oss,albfernandez-javadbf,parallel,native,PASS,,,191
lazymop,oss,StarlangSoftware-TurkishPropBank,parallel,stock,PASS,,,112
lazymop,oss,StarlangSoftware-TurkishPropBank,parallel,native,PASS,,,112
lazymop,oss,cowtowncoder-java-uuid-generator,parallel,stock,PASS,,,120
lazymop,oss,cowtowncoder-java-uuid-generator,parallel,native,PASS,,,120
lazymop,oss,StarlangSoftware-TurkishSentiNet,parallel,stock,PASS,,,31
lazymop,oss,StarlangSoftware-TurkishSentiNet,parallel,native,PASS,,,31
lazymop,oss,awslabs-route53-infima,parallel,stock,PASS,,,818
lazymop,oss,awslabs-route53-infima,parallel,native,PASS,,,780
lazymop,oss,agarciadom-xeger,parallel,stock,PASS,,,1687
lazymop,oss,agarciadom-xeger,parallel,native,PASS,,,1687
lazymop,oss,almson-almson-refcount,parallel,stock,PASS,,,24
lazymop,oss,almson-almson-refcount,parallel,native,PASS,,,24
lazymop,oss,lexburner-consistent-hash-algorithm,parallel,stock,PASS,,,27
lazymop,oss,lexburner-consistent-hash-algorithm,parallel,native,PASS,,,27
lazymop,oss,solita-functional-utils,parallel,stock,PASS,,,927
lazymop,oss,solita-functional-utils,parallel,native,PASS,,,927
lazymop,oss,palindromicity-simple-syslog,parallel,stock,PASS,,,2517
lazymop,oss,palindromicity-simple-syslog,parallel,native,PASS,,,2517
lazymop,oss,zhoujianling-PointCloudUtilities,parallel,stock,PASS,,,40880
lazymop,oss,zhoujianling-PointCloudUtilities,parallel,native,PASS,,,38319
lazymop,oss,graphstream-gs-core,parallel,stock,PASS,,,818
lazymop,oss,graphstream-gs-core,parallel,native,PASS,,,818
lazymop,oss,ghaffarian-progex,parallel,stock,PASS,,,38403
lazymop,oss,ghaffarian-progex,parallel,native,PASS,,,36931
lazymop,oss,graphstream-gs-algo,parallel,stock,FAIL,,,
lazymop,oss,graphstream-gs-algo,parallel,native,FAIL,,,
lazymop,oss,MezereonXP-AnomalyDetectTool,parallel,stock,PASS,,,689
lazymop,oss,MezereonXP-AnomalyDetectTool,parallel,native,PASS,,,693
lazymop,oss,Antibrumm-jackson-antpathfilter,parallel,stock,PASS,,,424
lazymop,oss,Antibrumm-jackson-antpathfilter,parallel,native,PASS,,,423
lazymop,oss,codelion-gramtest,parallel,stock,PASS,,,1189
lazymop,oss,codelion-gramtest,parallel,native,PASS,,,1216
lazymop,oss,huaban-jieba-analysis,parallel,stock,PASS,,,1092
lazymop,oss,huaban-jieba-analysis,parallel,native,PASS,,,1098
lazymop,oss,mocnik-science-geogrid,parallel,stock,PASS,,,63
lazymop,oss,mocnik-science-geogrid,parallel,native,PASS,,,63
lazymop,oss,renfei-ik-analyzer,parallel,stock,PASS,,,922
lazymop,oss,renfei-ik-analyzer,parallel,native,PASS,,,924
lazymop,oss,confluentinc-kafka-connect-datagen,parallel,stock,PASS,,,17631
lazymop,oss,confluentinc-kafka-connect-datagen,parallel,native,PASS,,,11285
lazymop,oss,f4b6a3-uuid-creator,parallel,stock,PASS,,,216
lazymop,oss,f4b6a3-uuid-creator,parallel,native,PASS,,,216
lazymop,oss,gchq-synthetic-data-generator,parallel,stock,FAIL,,,
lazymop,oss,gchq-synthetic-data-generator,parallel,native,FAIL,,,
lazymop,oss,sbesada-java.math.expression.parser,parallel,stock,PASS,,,135
lazymop,oss,sbesada-java.math.expression.parser,parallel,native,PASS,,,135
lazymop,oss,mastodon-sc-mastodon,parallel,stock,FAIL,,,
lazymop,oss,mastodon-sc-mastodon,parallel,native,FAIL,,,
lazymop,oss,ElectronicChartCentre-java-vector-tile,parallel,stock,FAIL,,,
lazymop,oss,ElectronicChartCentre-java-vector-tile,parallel,native,FAIL,,,
lazymop,oss,conveyal-osm-lib,parallel,stock,PASS,,,3525
lazymop,oss,conveyal-osm-lib,parallel,native,PASS,,,3522
lazymop,oss,eightbitjim-cassette-nibbler,parallel,stock,PASS,,,44783
lazymop,oss,eightbitjim-cassette-nibbler,parallel,native,PASS,,,47602
lazymop,oss,simplenlg-simplenlg,parallel,stock,FAIL,,,
lazymop,oss,simplenlg-simplenlg,parallel,native,FAIL,,,
lazymop,oss,cocolian-cocolian-nlp,parallel,stock,PASS,,,28818
lazymop,oss,cocolian-cocolian-nlp,parallel,native,PASS,,,28706
lazymop,oss,getodk-javarosa,parallel,stock,PASS,,,10631
lazymop,oss,getodk-javarosa,parallel,native,PASS,,,10071
lazymop,oss,fraunhoferfokus-Fuzzino,parallel,stock,PASS,,,7001
lazymop,oss,fraunhoferfokus-Fuzzino,parallel,native,PASS,,,7001
lazymop,oss,Sweetiee-yi-Jaba,parallel,stock,PASS,,,4969
lazymop,oss,Sweetiee-yi-Jaba,parallel,native,PASS,,,4969
lazymop,oss,iquadrat-sbb-train-scheduler,parallel,stock,PASS,,,6991
lazymop,oss,iquadrat-sbb-train-scheduler,parallel,native,PASS,,,6956
lazymop,oss,davidmoten-bplustree,parallel,stock,PASS,,,189
lazymop,oss,davidmoten-bplustree,parallel,native,PASS,,,189
lazymop,oss,hlavki-jlemmagen,parallel,stock,PASS,,,2066
lazymop,oss,hlavki-jlemmagen,parallel,native,PASS,,,2066
lazymop,oss,davidmoten-rtree2,parallel,stock,PASS,,,1811
lazymop,oss,davidmoten-rtree2,parallel,native,PASS,,,1815
lazymop,oss,danieldk-dictomaton,parallel,stock,PASS,,,13836
lazymop,oss,danieldk-dictomaton,parallel,native,PASS,,,13836
lazymop,oss,almondtools-stringsearchalgorithms,parallel,stock,PASS,,,4841
lazymop,oss,almondtools-stringsearchalgorithms,parallel,native,PASS,,,4840
lazymop,oss,davidmoten-rtree-multi,parallel,stock,PASS,,,37304
lazymop,oss,davidmoten-rtree-multi,parallel,native,PASS,,,38298
lazymop,oss,chocoteam-choco-graph,parallel,stock,FAIL,,,
lazymop,oss,chocoteam-choco-graph,parallel,native,FAIL,,,
lazymop,oss,myui-btree4j,parallel,stock,PASS,,,1516
lazymop,oss,myui-btree4j,parallel,native,PASS,,,1537
lazymop,oss,houbb-sensitive-word,parallel,stock,PASS,,,448
lazymop,oss,houbb-sensitive-word,parallel,native,PASS,,,448
lazymop,oss,jahlborn-jackcess,parallel,stock,PASS,,,42993
lazymop,oss,jahlborn-jackcess,parallel,native,PASS,,,36384
lazymop,oss,lukfor-pgs-calc,parallel,stock,PASS,,,7758
lazymop,oss,lukfor-pgs-calc,parallel,native,PASS,,,7738
lazymop,oss,apache-commons-imaging,parallel,stock,PASS,,,8546
lazymop,oss,apache-commons-imaging,parallel,native,PASS,,,8544
lazymop,oss,davidmoten-rtree,parallel,stock,PASS,,,2828
lazymop,oss,davidmoten-rtree,parallel,native,PASS,,,2828
lazymop,oss,kapoorlabs-kiara,parallel,stock,FAIL,,,
lazymop,oss,kapoorlabs-kiara,parallel,native,FAIL,,,
lazymop,oss,fusion-jena-JaroWinklerSimilarity,parallel,stock,PASS,,,11304
lazymop,oss,fusion-jena-JaroWinklerSimilarity,parallel,native,PASS,,,10474
lazymop,oss,palatable-lambda,parallel,stock,PASS,,,44092
lazymop,oss,palatable-lambda,parallel,native,PASS,,,44091
lazymop,oss,flipkart-incubator-databuilderframework,parallel,stock,PASS,,,1461
lazymop,oss,flipkart-incubator-databuilderframework,parallel,native,PASS,,,1461
lazymop,oss,indeedeng-vowpal-wabbit-java,parallel,stock,PASS,,,275
lazymop,oss,indeedeng-vowpal-wabbit-java,parallel,native,PASS,,,275
lazymop,oss,bkatwal-kafka-util,parallel,stock,PASS,,,33393
lazymop,oss,bkatwal-kafka-util,parallel,native,PASS,,,37361
lazymop,oss,xspec-xspec-maven-plugin-1,parallel,stock,PASS,,,8954
lazymop,oss,xspec-xspec-maven-plugin-1,parallel,native,PASS,,,8954
lazymop,oss,attoparser-attoparser,parallel,stock,PASS,,,799
lazymop,oss,attoparser-attoparser,parallel,native,PASS,,,799
lazymop,oss,PeterisP-morphology,parallel,stock,PASS,,,28943
lazymop,oss,PeterisP-morphology,parallel,native,PASS,,,28943
lazymop,oss,ysc-word,parallel,stock,PASS,,,1603
lazymop,oss,ysc-word,parallel,native,PASS,,,1603
lazymop,oss,addthis-stream-lib,parallel,stock,FAIL,,,
lazymop,oss,addthis-stream-lib,parallel,native,FAIL,,,
lazymop,oss,googleapis-java-spanner-jdbc,parallel,stock,FAIL,,,
lazymop,oss,googleapis-java-spanner-jdbc,parallel,native,FAIL,,,
lazymop,oss,StarlangSoftware-TurkishWordNet,parallel,stock,FAIL,,,
lazymop,oss,StarlangSoftware-TurkishWordNet,parallel,native,FAIL,,,
lazymop,oss,albfernandez-javadbf,g1,stock,PASS,,,191
lazymop,oss,albfernandez-javadbf,g1,native,PASS,,,191
lazymop,oss,StarlangSoftware-TurkishPropBank,g1,stock,PASS,,,112
lazymop,oss,StarlangSoftware-TurkishPropBank,g1,native,PASS,,,112
lazymop,oss,cowtowncoder-java-uuid-generator,g1,stock,PASS,,,128
lazymop,oss,cowtowncoder-java-uuid-generator,g1,native,PASS,,,128
lazymop,oss,StarlangSoftware-TurkishSentiNet,g1,stock,PASS,,,31
lazymop,oss,StarlangSoftware-TurkishSentiNet,g1,native,PASS,,,31
lazymop,oss,awslabs-route53-infima,g1,stock,PASS,,,766
lazymop,oss,awslabs-route53-infima,g1,native,PASS,,,772
lazymop,oss,agarciadom-xeger,g1,stock,PASS,,,1687
lazymop,oss,agarciadom-xeger,g1,native,PASS,,,1687
lazymop,oss,almson-almson-refcount,g1,stock,PASS,,,24
lazymop,oss,almson-almson-refcount,g1,native,PASS,,,24
lazymop,oss,lexburner-consistent-hash-algorithm,g1,stock,PASS,,,27
lazymop,oss,lexburner-consistent-hash-algorithm,g1,native,PASS,,,27
lazymop,oss,solita-functional-utils,g1,stock,PASS,,,927
lazymop,oss,solita-functional-utils,g1,native,PASS,,,927
lazymop,oss,palindromicity-simple-syslog,g1,stock,PASS,,,2517
lazymop,oss,palindromicity-simple-syslog,g1,native,PASS,,,2517
lazymop,oss,zhoujianling-PointCloudUtilities,g1,stock,PASS,,,42775
lazymop,oss,zhoujianling-PointCloudUtilities,g1,native,PASS,,,34629
lazymop,oss,graphstream-gs-core,g1,stock,PASS,,,818
lazymop,oss,graphstream-gs-core,g1,native,PASS,,,818
lazymop,oss,ghaffarian-progex,g1,stock,PASS,,,37023
lazymop,oss,ghaffarian-progex,g1,native,PASS,,,36930
lazymop,oss,graphstream-gs-algo,g1,stock,FAIL,,,
lazymop,oss,graphstream-gs-algo,g1,native,FAIL,,,
lazymop,oss,MezereonXP-AnomalyDetectTool,g1,stock,PASS,,,683
lazymop,oss,MezereonXP-AnomalyDetectTool,g1,native,PASS,,,683
lazymop,oss,Antibrumm-jackson-antpathfilter,g1,stock,PASS,,,424
lazymop,oss,Antibrumm-jackson-antpathfilter,g1,native,PASS,,,423
lazymop,oss,codelion-gramtest,g1,stock,PASS,,,1173
lazymop,oss,codelion-gramtest,g1,native,PASS,,,1146
lazymop,oss,huaban-jieba-analysis,g1,stock,PASS,,,1092
lazymop,oss,huaban-jieba-analysis,g1,native,PASS,,,1092
lazymop,oss,mocnik-science-geogrid,g1,stock,PASS,,,
lazymop,oss,mocnik-science-geogrid,g1,native,FAIL,,,
lazymop,oss,renfei-ik-analyzer,g1,stock,PASS,,,922
lazymop,oss,renfei-ik-analyzer,g1,native,PASS,,,922
lazymop,oss,confluentinc-kafka-connect-datagen,g1,stock,PASS,,,12636
lazymop,oss,confluentinc-kafka-connect-datagen,g1,native,PASS,,,11346
lazymop,oss,f4b6a3-uuid-creator,g1,stock,PASS,,,216
lazymop,oss,f4b6a3-uuid-creator,g1,native,PASS,,,216
lazymop,oss,gchq-synthetic-data-generator,g1,stock,FAIL,,,
lazymop,oss,gchq-synthetic-data-generator,g1,native,FAIL,,,
lazymop,oss,sbesada-java.math.expression.parser,g1,stock,PASS,,,135
lazymop,oss,sbesada-java.math.expression.parser,g1,native,PASS,,,135
lazymop,oss,mastodon-sc-mastodon,g1,stock,FAIL,,,
lazymop,oss,mastodon-sc-mastodon,g1,native,FAIL,,,
lazymop,oss,ElectronicChartCentre-java-vector-tile,g1,stock,FAIL,,,
lazymop,oss,ElectronicChartCentre-java-vector-tile,g1,native,FAIL,,,
lazymop,oss,conveyal-osm-lib,g1,stock,PASS,,,3525
lazymop,oss,conveyal-osm-lib,g1,native,PASS,,,3526
lazymop,oss,eightbitjim-cassette-nibbler,g1,stock,FAIL,,,
lazymop,oss,eightbitjim-cassette-nibbler,g1,native,PASS,,,
lazymop,oss,simplenlg-simplenlg,g1,stock,PASS,,,2169
lazymop,oss,simplenlg-simplenlg,g1,native,PASS,,,2169
lazymop,oss,cocolian-cocolian-nlp,g1,stock,PASS,,,30799
lazymop,oss,cocolian-cocolian-nlp,g1,native,PASS,,,28711
lazymop,oss,getodk-javarosa,g1,stock,PASS,,,10170
lazymop,oss,getodk-javarosa,g1,native,PASS,,,10071
lazymop,oss,fraunhoferfokus-Fuzzino,g1,stock,PASS,,,7001
lazymop,oss,fraunhoferfokus-Fuzzino,g1,native,PASS,,,7001
lazymop,oss,Sweetiee-yi-Jaba,g1,stock,PASS,,,4969
lazymop,oss,Sweetiee-yi-Jaba,g1,native,PASS,,,4969
lazymop,oss,iquadrat-sbb-train-scheduler,g1,stock,PASS,,,6952
lazymop,oss,iquadrat-sbb-train-scheduler,g1,native,PASS,,,6962
lazymop,oss,davidmoten-bplustree,g1,stock,PASS,,,189
lazymop,oss,davidmoten-bplustree,g1,native,PASS,,,189
lazymop,oss,hlavki-jlemmagen,g1,stock,PASS,,,2066
lazymop,oss,hlavki-jlemmagen,g1,native,PASS,,,2066
lazymop,oss,davidmoten-rtree2,g1,stock,PASS,,,1816
lazymop,oss,davidmoten-rtree2,g1,native,PASS,,,1809
lazymop,oss,danieldk-dictomaton,g1,stock,PASS,,,13836
lazymop,oss,danieldk-dictomaton,g1,native,PASS,,,13836
lazymop,oss,almondtools-stringsearchalgorithms,g1,stock,PASS,,,4848
lazymop,oss,almondtools-stringsearchalgorithms,g1,native,PASS,,,4845
lazymop,oss,davidmoten-rtree-multi,g1,stock,PASS,,,38115
lazymop,oss,davidmoten-rtree-multi,g1,native,PASS,,,38062
lazymop,oss,chocoteam-choco-graph,g1,stock,FAIL,,,
lazymop,oss,chocoteam-choco-graph,g1,native,FAIL,,,
lazymop,oss,myui-btree4j,g1,stock,PASS,,,1529
