heap,suite,tool,gc,subject,arm,status,e2e_s,peak_heap_mb,postgc_live_mb,viols
abundant,dacapo,javamop,serial,eclipse,stock,PASS,11.753,1090,556,25
abundant,dacapo,javamop,serial,graphchi,native,PASS,12.831,949,414,1
abundant,dacapo,javamop,serial,graphchi,stock,PASS,13.411,949,415,1
abundant,dacapo,javamop,serial,h2,native,PASS,4.983,2109,1485,0
abundant,dacapo,javamop,serial,h2,stock,PASS,5.080,2121,1497,0
abundant,dacapo,javamop,serial,jme,native,PASS,7.143,650,122,2
abundant,dacapo,javamop,serial,jme,stock,PASS,7.211,652,134,2
abundant,dacapo,javamop,serial,jython,native,ERR,,3601,2924,13
abundant,dacapo,javamop,serial,jython,stock,PASS,27.790,8031,5891,13
abundant,dacapo,javamop,serial,kafka,native,FAIL,186.447,13594,11712,49
abundant,dacapo,javamop,serial,kafka,stock,FAIL,3072.523,43239,35547,50
abundant,dacapo,javamop,serial,luindex,native,PASS,84.096,716,191,6
abundant,dacapo,javamop,serial,luindex,stock,ERR,,2450,1998,6
abundant,dacapo,javamop,serial,lusearch,native,PASS,143.595,7383,5296,6
abundant,dacapo,javamop,serial,lusearch,stock,PASS,262.775,25577,20773,6
abundant,dacapo,javamop,serial,pmd,native,FAIL,422.311,17735,12453,18
abundant,dacapo,javamop,serial,pmd,stock,FAIL,697.584,87905,87905,18
abundant,dacapo,javamop,serial,sunflow,native,PASS,14.555,669,135,0
abundant,dacapo,javamop,serial,sunflow,stock,PASS,18.961,861,327,0
abundant,dacapo,javamop,serial,tomcat,native,PASS,44.933,2340,1663,51
abundant,dacapo,javamop,serial,tomcat,stock,PASS,61.801,8504,6638,51
abundant,dacapo,javamop,serial,xalan,native,PASS,18.857,679,145,6
abundant,dacapo,javamop,serial,xalan,stock,PASS,20.090,768,234,6
abundant,dacapo,javamop,serial,zxing,native,PASS,11.488,755,221,0
abundant,dacapo,javamop,serial,zxing,stock,PASS,16.809,3299,2650,0
abundant,dacapo,lazymop,g1,avrora,native,PASS,52.271,3305,1964,0
abundant,dacapo,lazymop,g1,avrora,stock,PASS,70.432,10962,8711,0
abundant,dacapo,lazymop,g1,batik,native,PASS,3.508,4002,1155,0
abundant,dacapo,lazymop,g1,batik,stock,PASS,3.831,2388,1312,0
abundant,dacapo,lazymop,g1,biojava,native,PASS,84.421,15263,10239,0
abundant,dacapo,lazymop,g1,biojava,stock,PASS,94.576,13946,9730,0
abundant,dacapo,lazymop,g1,eclipse,native,PASS,13.152,3484,663,0
abundant,dacapo,lazymop,g1,eclipse,stock,PASS,13.001,3389,625,0
abundant,dacapo,lazymop,g1,graphchi,native,PASS,6.162,1548,657,0
abundant,dacapo,lazymop,g1,graphchi,stock,PASS,6.353,1643,1041,0
abundant,dacapo,lazymop,g1,h2,native,PASS,6.042,13552,2840,0
abundant,dacapo,lazymop,g1,h2,stock,PASS,5.498,11270,2725,0
abundant,dacapo,lazymop,g1,jme,native,PASS,7.294,1695,195,0
abundant,dacapo,lazymop,g1,jme,stock,PASS,7.310,1665,255,0
abundant,dacapo,lazymop,g1,jython,native,PASS,15.728,8915,6887,0
abundant,dacapo,lazymop,g1,jython,stock,PASS,21.385,12118,9238,0
abundant,dacapo,lazymop,g1,kafka,native,FAIL,,98303,98303,0
abundant,dacapo,lazymop,g1,kafka,stock,FAIL,,98302,98302,0
abundant,dacapo,lazymop,g1,luindex,native,ERR,,98298,98298,0
abundant,dacapo,lazymop,g1,luindex,stock,ERR,,98301,98301,0
abundant,dacapo,lazymop,g1,lusearch,native,PASS,78.054,21672,18334,0
abundant,dacapo,lazymop,g1,lusearch,stock,PASS,93.061,82209,80385,0
abundant,dacapo,lazymop,g1,pmd,native,FAIL,1.037,16968,8713,0
abundant,dacapo,lazymop,g1,pmd,stock,FAIL,0.262,5957,3935,0
abundant,dacapo,lazymop,g1,sunflow,native,PASS,44.342,1873,405,0
abundant,dacapo,lazymop,g1,sunflow,stock,PASS,33.383,1611,204,0
abundant,dacapo,lazymop,g1,tomcat,native,TIMEOUT,,98300,98300,0
abundant,dacapo,lazymop,g1,tomcat,stock,PASS,79.019,98115,98115,0
abundant,dacapo,lazymop,g1,xalan,native,PASS,25.156,38039,33571,0
abundant,dacapo,lazymop,g1,xalan,stock,PASS,25.626,38288,33422,0
abundant,dacapo,lazymop,g1,zxing,native,PASS,32.063,42648,37179,0
abundant,dacapo,lazymop,g1,zxing,stock,PASS,36.480,59570,37915,0
abundant,dacapo,lazymop,parallel,avrora,native,PASS,56.029,11982,782,0
abundant,dacapo,lazymop,parallel,avrora,stock,PASS,58.491,13039,6811,0
abundant,dacapo,lazymop,parallel,batik,native,PASS,2.572,7962,658,0
abundant,dacapo,lazymop,parallel,batik,stock,PASS,3.574,6619,1601,0
abundant,dacapo,lazymop,parallel,biojava,native,PASS,113.155,21586,8409,0
abundant,dacapo,lazymop,parallel,biojava,stock,PASS,101.888,23548,8655,0
abundant,dacapo,lazymop,parallel,eclipse,native,PASS,12.914,4148,541,0
abundant,dacapo,lazymop,parallel,eclipse,stock,PASS,13.128,6161,582,0
abundant,dacapo,lazymop,parallel,graphchi,native,PASS,5.782,6025,332,0
abundant,dacapo,lazymop,parallel,graphchi,stock,PASS,6.629,8471,309,0
abundant,dacapo,lazymop,parallel,h2,native,PASS,5.160,33968,2272,0
abundant,dacapo,lazymop,parallel,h2,stock,PASS,5.332,33438,2453,0
abundant,dacapo,lazymop,parallel,jme,native,PASS,7.123,6617,181,0
abundant,dacapo,lazymop,parallel,jme,stock,PASS,7.150,4178,190,0
abundant,dacapo,lazymop,parallel,jython,native,PASS,12.941,14135,3480,0
abundant,dacapo,lazymop,parallel,jython,stock,PASS,20.038,18354,6213,0
abundant,dacapo,lazymop,parallel,kafka,native,FAIL,,4053,77729,0
abundant,dacapo,lazymop,parallel,kafka,stock,FAIL,,83285,87318,0
abundant,dacapo,lazymop,parallel,luindex,native,TIMEOUT,,77064,76017,0
abundant,dacapo,lazymop,parallel,luindex,stock,TIMEOUT,,73114,80276,0
abundant,dacapo,lazymop,parallel,lusearch,native,PASS,73.652,40736,14612,0
abundant,dacapo,lazymop,parallel,lusearch,stock,PASS,85.511,42653,29779,0
abundant,dacapo,lazymop,parallel,pmd,native,FAIL,0.892,25007,10060,0
abundant,dacapo,lazymop,parallel,pmd,stock,FAIL,1.521,18130,9479,0
abundant,dacapo,lazymop,parallel,sunflow,native,PASS,40.818,4052,524,0
abundant,dacapo,lazymop,parallel,sunflow,stock,PASS,39.687,4053,968,0
abundant,dacapo,lazymop,parallel,tomcat,native,TIMEOUT,,81807,76520,0
abundant,dacapo,lazymop,parallel,tomcat,stock,TIMEOUT,,79031,79031,0
abundant,dacapo,lazymop,parallel,xalan,native,PASS,25.593,40766,27665,0
abundant,dacapo,lazymop,parallel,xalan,stock,PASS,27.324,42770,27460,0
abundant,dacapo,lazymop,parallel,zxing,native,PASS,30.150,56085,35697,0
abundant,dacapo,lazymop,parallel,zxing,stock,PASS,30.865,64048,37602,0
abundant,dacapo,lazymop,serial,avrora,native,PASS,20.411,1109,594,0
abundant,dacapo,lazymop,serial,avrora,stock,PASS,33.460,11534,5799,0
abundant,dacapo,lazymop,serial,batik,native,PASS,3.044,1032,604,0
abundant,dacapo,lazymop,serial,batik,stock,PASS,4.815,1920,1521,0
abundant,dacapo,lazymop,serial,biojava,native,PASS,96.975,13870,8631,0
abundant,dacapo,lazymop,serial,biojava,stock,PASS,99.994,14468,8861,0
abundant,dacapo,lazymop,serial,eclipse,native,PASS,11.707,1225,685,0
abundant,dacapo,lazymop,serial,eclipse,stock,PASS,11.732,1248,752,0
abundant,dacapo,lazymop,serial,graphchi,native,PASS,8.680,974,440,0
abundant,dacapo,lazymop,serial,graphchi,stock,PASS,8.141,975,441,0
abundant,dacapo,lazymop,serial,h2,native,PASS,7.716,5421,2193,0
abundant,dacapo,lazymop,serial,h2,stock,PASS,8.030,5394,2234,0
abundant,dacapo,lazymop,serial,jme,native,PASS,7.176,725,181,0
abundant,dacapo,lazymop,serial,jme,stock,PASS,7.291,740,191,0
abundant,dacapo,lazymop,serial,jython,native,PASS,15.078,4925,3115,0
abundant,dacapo,lazymop,serial,jython,stock,PASS,23.612,11048,7135,0
abundant,dacapo,lazymop,serial,kafka,stock,FAIL,,95027,95027,0
abundant,dacapo,lazymop,serial,sunflow,native,PASS,17.269,704,158,0
abundant,dacapo,lazymop,serial,sunflow,stock,PASS,18.685,755,209,0
abundant,dacapo,lazymop,serial,tomcat,native,TIMEOUT,,95027,94792,0
abundant,dacapo,lazymop,serial,tomcat,stock,TIMEOUT,182.622,95027,77498,0
abundant,dacapo,lazymop,serial,xalan,native,PASS,32.938,44872,27669,0
abundant,dacapo,lazymop,serial,xalan,stock,PASS,31.268,45795,28212,0
abundant,dacapo,lazymop,serial,zxing,stock,PASS,25.737,64617,40088,0
abundant,dacapo,valg,g1,avrora,native,PASS,18.775,2046,412,5
abundant,dacapo,valg,g1,avrora,stock,PASS,24.795,4722,3577,5
abundant,dacapo,valg,g1,batik,native,PASS,2.722,3368,843,2
abundant,dacapo,valg,g1,batik,stock,PASS,4.472,2534,1404,2
abundant,dacapo,valg,g1,biojava,native,PASS,221.115,3607,847,5
abundant,dacapo,valg,g1,biojava,stock,PASS,235.970,1706,320,5
abundant,dacapo,valg,g1,eclipse,native,PASS,11.607,2376,459,24
abundant,dacapo,valg,g1,eclipse,stock,PASS,11.494,2186,480,24
abundant,dacapo,valg,g1,graphchi,native,PASS,14.523,1918,497,1
abundant,dacapo,valg,g1,graphchi,stock,PASS,14.189,1771,439,1
abundant,dacapo,valg,g1,h2,native,PASS,2.470,5977,1071,0
abundant,dacapo,valg,g1,h2,stock,PASS,2.461,5575,1066,0
abundant,dacapo,valg,g1,jme,native,PASS,7.282,1707,197,2
abundant,dacapo,valg,g1,jme,stock,PASS,7.247,1675,166,2
abundant,dacapo,valg,g1,jython,native,PASS,18.359,5878,1414,13
abundant,dacapo,valg,g1,jython,stock,PASS,26.640,11237,3380,13
abundant,dacapo,valg,g1,kafka,native,FAIL,,8830,2388,50
abundant,dacapo,valg,g1,kafka,stock,FAIL,,20634,18110,49
abundant,dacapo,valg,g1,luindex,native,PASS,19.639,2811,747,6
abundant,dacapo,valg,g1,luindex,stock,ERR,,1744,435,6
abundant,dacapo,valg,g1,lusearch,native,PASS,88.910,4360,1474,6
abundant,dacapo,valg,g1,lusearch,stock,PASS,116.991,46073,42809,6
abundant,dacapo,valg,g1,pmd,native,FAIL,308.868,10453,7803,18
abundant,dacapo,valg,g1,pmd,stock,FAIL,511.852,65652,63195,21
abundant,dacapo,valg,g1,sunflow,native,PASS,17.291,2981,361,0
abundant,dacapo,valg,g1,sunflow,stock,PASS,16.836,1611,170,0
abundant,dacapo,valg,g1,tomcat,native,PASS,33.199,6673,2120,50
abundant,dacapo,valg,g1,tomcat,stock,PASS,38.456,6867,2971,50
abundant,dacapo,valg,g1,xalan,native,PASS,19.760,1863,340,6
abundant,dacapo,valg,g1,xalan,stock,PASS,19.474,1738,198,6
abundant,dacapo,valg,g1,zxing,native,PASS,10.528,1900,471,0
abundant,dacapo,valg,g1,zxing,stock,PASS,11.275,2206,794,0
abundant,dacapo,valg,parallel,avrora,native,PASS,17.158,8070,231,5
abundant,dacapo,valg,parallel,avrora,stock,PASS,23.935,8070,3659,5
abundant,dacapo,valg,parallel,batik,native,PASS,2.501,4607,824,2
abundant,dacapo,valg,parallel,batik,stock,PASS,3.614,4067,1563,2
abundant,dacapo,valg,parallel,biojava,native,PASS,174.798,8071,596,5
abundant,dacapo,valg,parallel,biojava,stock,PASS,192.960,8070,1108,6
abundant,dacapo,valg,parallel,eclipse,native,PASS,11.286,5388,374,24
abundant,dacapo,valg,parallel,eclipse,stock,PASS,11.093,8084,489,24
abundant,dacapo,valg,parallel,graphchi,native,PASS,13.215,8341,2097,1
abundant,dacapo,valg,parallel,graphchi,stock,PASS,12.818,9409,2356,1
abundant,dacapo,valg,parallel,h2,native,PASS,2.439,32419,939,0
abundant,dacapo,valg,parallel,h2,stock,PASS,2.268,32390,1018,0
abundant,dacapo,valg,parallel,jme,native,PASS,7.056,4073,145,2
abundant,dacapo,valg,parallel,jme,stock,PASS,7.051,4075,152,2
abundant,dacapo,valg,parallel,jython,native,PASS,16.068,9786,1064,13
abundant,dacapo,valg,parallel,jython,stock,PASS,21.066,8101,3308,13
abundant,dacapo,valg,parallel,kafka,native,FAIL,,20369,1746,49
abundant,dacapo,valg,parallel,kafka,stock,FAIL,59.330,15228,7344,47
abundant,dacapo,valg,parallel,luindex,native,PASS,17.872,4069,194,6
abundant,dacapo,valg,parallel,luindex,stock,PASS,18.812,4072,526,6
abundant,dacapo,valg,parallel,lusearch,native,PASS,80.545,33072,968,6
abundant,dacapo,valg,parallel,lusearch,stock,PASS,105.561,38580,20114,7
abundant,dacapo,valg,parallel,pmd,native,FAIL,318.611,36933,8165,22
abundant,dacapo,valg,parallel,pmd,stock,FAIL,427.710,38761,26755,20
abundant,dacapo,valg,parallel,sunflow,native,PASS,20.184,4077,325,0
abundant,dacapo,valg,parallel,sunflow,stock,PASS,18.263,4077,524,0
abundant,dacapo,valg,parallel,tomcat,native,PASS,33.253,16671,1752,50
abundant,dacapo,valg,parallel,tomcat,stock,PASS,37.310,12101,4503,50
abundant,dacapo,valg,parallel,xalan,native,PASS,21.035,8075,233,6
abundant,dacapo,valg,parallel,xalan,stock,PASS,21.701,4070,847,6
abundant,dacapo,valg,parallel,zxing,native,PASS,10.040,5065,196,0
abundant,dacapo,valg,parallel,zxing,stock,PASS,11.340,4067,1229,0
abundant,dacapo,valg,serial,avrora,native,PASS,17.248,648,114,5
abundant,dacapo,valg,serial,avrora,stock,PASS,28.356,6664,4966,5
abundant,dacapo,valg,serial,batik,native,PASS,2.943,1209,775,2
abundant,dacapo,valg,serial,batik,stock,PASS,4.178,2150,1471,2
abundant,dacapo,valg,serial,biojava,native,PASS,173.599,1024,490,5
abundant,dacapo,valg,serial,biojava,stock,PASS,190.665,1053,519,5
abundant,dacapo,valg,serial,eclipse,native,PASS,11.782,1085,551,24
abundant,dacapo,valg,serial,eclipse,stock,PASS,11.821,1099,565,24
abundant,dacapo,valg,serial,graphchi,native,PASS,13.775,961,427,1
abundant,dacapo,valg,serial,graphchi,stock,PASS,13.330,965,431,1
abundant,dacapo,valg,serial,h2,native,PASS,5.071,2143,1524,0
abundant,dacapo,valg,serial,h2,stock,PASS,5.123,2147,1502,0
abundant,dacapo,valg,serial,jme,native,PASS,7.188,661,136,2
abundant,dacapo,valg,serial,jme,stock,PASS,7.191,665,144,2
abundant,dacapo,valg,serial,jython,native,PASS,15.300,1420,886,13
abundant,dacapo,valg,serial,jython,stock,PASS,24.308,3934,3027,13
abundant,dacapo,valg,serial,kafka,native,FAIL,50.044,1423,895,49
abundant,dacapo,valg,serial,kafka,stock,FAIL,88.166,6490,5156,48
abundant,dacapo,valg,serial,luindex,native,PASS,16.796,699,165,6
abundant,dacapo,valg,serial,luindex,stock,PASS,14.426,979,449,6
abundant,dacapo,valg,serial,lusearch,native,PASS,86.328,763,229,6
abundant,dacapo,valg,serial,lusearch,stock,PASS,200.258,4653,3663,6
abundant,dacapo,valg,serial,pmd,native,FAIL,311.266,11693,7635,19
abundant,dacapo,valg,serial,pmd,stock,FAIL,555.858,23019,18127,20
abundant,dacapo,valg,serial,sunflow,native,PASS,16.631,687,153,0
abundant,dacapo,valg,serial,sunflow,stock,PASS,17.386,786,252,0
abundant,dacapo,valg,serial,tomcat,native,PASS,35.712,2511,1636,50
abundant,dacapo,valg,serial,tomcat,stock,PASS,48.493,2926,2126,50
abundant,dacapo,valg,serial,xalan,native,PASS,20.007,735,201,6
abundant,dacapo,valg,serial,xalan,stock,PASS,20.909,775,243,6
abundant,dacapo,valg,serial,zxing,native,PASS,9.339,782,248,0
abundant,dacapo,valg,serial,zxing,stock,PASS,12.718,1561,1095,0
abundant,oss,javamop,g1,Antibrumm-jackson-antpathfilter,native,PASS,60.853,3584,2837,0
abundant,oss,javamop,g1,Antibrumm-jackson-antpathfilter,stock,PASS,74.217,9001,7369,0
abundant,oss,javamop,g1,ElectronicChartCentre-java-vector-tile,native,PASS,83.644,7329,1007,13
abundant,oss,javamop,g1,ElectronicChartCentre-java-vector-tile,stock,PASS,104.777,6976,2769,13
abundant,oss,javamop,g1,MezereonXP-AnomalyDetectTool,native,PASS,53.963,3073,2752,0
abundant,oss,javamop,g1,MezereonXP-AnomalyDetectTool,stock,PASS,49.163,2428,1468,0
abundant,oss,javamop,g1,PeterisP-morphology,native,PASS,314.909,8178,5937,2
abundant,oss,javamop,g1,PeterisP-morphology,stock,PASS,428.109,37359,35776,2
abundant,oss,javamop,g1,StarlangSoftware-TurkishPropBank,native,PASS,34.867,4964,2870,0
abundant,oss,javamop,g1,StarlangSoftware-TurkishPropBank,stock,PASS,67.224,16772,15717,0
abundant,oss,javamop,g1,StarlangSoftware-TurkishSentiNet,native,PASS,44.928,5848,3540,0
abundant,oss,javamop,g1,StarlangSoftware-TurkishSentiNet,stock,PASS,103.817,20944,20511,0
abundant,oss,javamop,g1,StarlangSoftware-TurkishWordNet,native,PASS,1079.280,48420,44217,0
abundant,oss,javamop,g1,StarlangSoftware-TurkishWordNet,stock,PASS,2141.422,98303,98303,0
abundant,oss,javamop,g1,Sweetiee-yi-Jaba,native,PASS,90.076,6896,4821,2
abundant,oss,javamop,g1,Sweetiee-yi-Jaba,stock,PASS,118.646,22035,19891,2
abundant,oss,javamop,g1,addthis-stream-lib,native,PASS,1175.998,8557,3520,15
abundant,oss,javamop,g1,addthis-stream-lib,stock,PASS,1515.744,38190,37408,15
abundant,oss,javamop,g1,agarciadom-xeger,native,PASS,35.390,2456,1656,1
abundant,oss,javamop,g1,agarciadom-xeger,stock,PASS,68.813,6628,5954,1
abundant,oss,javamop,g1,albfernandez-javadbf,native,PASS,37.676,1921,113,3
abundant,oss,javamop,g1,albfernandez-javadbf,stock,PASS,38.666,1857,85,3
abundant,oss,javamop,g1,almondtools-stringsearchalgorithms,native,PASS,119.691,8133,6544,21
abundant,oss,javamop,g1,almondtools-stringsearchalgorithms,stock,PASS,198.353,30118,29420,21
abundant,oss,javamop,g1,almson-almson-refcount,native,PASS,23.554,2630,707,0
abundant,oss,javamop,g1,almson-almson-refcount,stock,PASS,26.946,2019,768,0
abundant,oss,javamop,g1,apache-commons-imaging,native,PASS,170.282,7269,4933,121
abundant,oss,javamop,g1,apache-commons-imaging,stock,PASS,216.700,25522,16433,121
abundant,oss,javamop,g1,attoparser-attoparser,native,PASS,332.897,9905,5597,0
abundant,oss,javamop,g1,attoparser-attoparser,stock,PASS,478.146,49775,46434,0
abundant,oss,javamop,g1,awslabs-route53-infima,native,PASS,35.576,3543,1784,8
abundant,oss,javamop,g1,awslabs-route53-infima,stock,PASS,46.811,8253,5645,8
abundant,oss,javamop,g1,bkatwal-kafka-util,native,PASS,275.131,4572,380,20
abundant,oss,javamop,g1,bkatwal-kafka-util,stock,PASS,278.377,2138,316,20
abundant,oss,javamop,g1,chocoteam-choco-graph,native,PASS,152.979,3455,2015,5
abundant,oss,javamop,g1,chocoteam-choco-graph,stock,PASS,189.797,14080,12748,5
abundant,oss,javamop,g1,cocolian-cocolian-nlp,native,PASS,80.739,8465,5499,1
abundant,oss,javamop,g1,cocolian-cocolian-nlp,stock,PASS,102.735,19222,17970,1
abundant,oss,javamop,g1,codelion-gramtest,native,PASS,66.914,5602,4028,0
abundant,oss,javamop,g1,codelion-gramtest,stock,PASS,97.107,13739,12555,0
abundant,oss,javamop,g1,confluentinc-kafka-connect-datagen,native,PASS,80.707,3971,2579,18
abundant,oss,javamop,g1,confluentinc-kafka-connect-datagen,stock,PASS,90.466,5816,4795,18
abundant,oss,javamop,g1,conveyal-osm-lib,native,PASS,82.506,5820,3810,6
abundant,oss,javamop,g1,conveyal-osm-lib,stock,PASS,90.804,8384,7021,6
abundant,oss,javamop,g1,cowtowncoder-java-uuid-generator,native,PASS,23.741,3629,1745,2
abundant,oss,javamop,g1,cowtowncoder-java-uuid-generator,stock,PASS,35.775,9561,8520,2
abundant,oss,javamop,g1,danieldk-dictomaton,native,PASS,101.368,6387,4334,24
abundant,oss,javamop,g1,danieldk-dictomaton,stock,PASS,168.680,42272,39488,24
abundant,oss,javamop,g1,davidmoten-bplustree,native,PASS,116.783,5376,3217,6
abundant,oss,javamop,g1,davidmoten-bplustree,stock,PASS,162.748,22508,21612,6
abundant,oss,javamop,g1,davidmoten-rtree,native,PASS,342.018,8553,3821,18
